"","pos","neg","year","qrt","econapp","fpapp","approve","gulf","trans","bizexp","bizretr","rass","lewin","favor","qrtunem","annumem","qrtinfl","annuminfl","bushjr","clinton","bushsr","reagan","carter","t","tt"
"49",0,1,1989,2,44.3199996948242,62.2200012207031,61.3300018310547,0,0,112,108,0,0,68.2180023193359,5.19999980926514,5.30000019073486,5.19999980926514,4.82000017166138,0,0,1,0,0,100,49
"50",0,0,1989,3,53.25,62.2200012207031,68.3300018310547,0,0,120,112,0,0,65.6790008544922,5.30000019073486,5.30000019073486,4.69999980926514,4.82000017166138,0,0,1,0,0,100,50
"51",2,1,1989,4,43.9700012207031,59.2099990844727,69.6699981689453,0,0,118,111,0,0,66.4570007324219,5.40000009536743,5.30000019073486,4.59999990463257,4.82000017166138,0,0,1,0,0,100,51
"52",0,0,1990,1,47.9000015258789,70.5299987792969,75.6699981689453,0,0,113,97,0,0,67.3519973754883,5.30000019073486,5.59999990463257,5.19999980926514,5.40000009536743,0,0,1,0,0,100,52
"53",0,1,1990,2,44.6199989318848,59.8300018310547,67.8300018310547,0,0,107,94,0,0,71.0859985351562,5.30000019073486,5.59999990463257,4.59999990463257,5.40000009536743,0,0,1,0,0,100,53
"54",1,0,1990,3,42.8800010681152,62.9900016784668,67.8300018310547,0,0,71,77,0,0,72.0100021362305,5.69999980926514,5.59999990463257,5.5,5.40000009536743,0,0,1,0,0,100,54
"55",1,0,1990,4,34.8699989318848,69.5999984741211,57,0,0,41,37,0,0,72.0690002441406,6.09999990463257,5.59999990463257,6.19999980926514,5.40000009536743,0,0,1,0,0,100,55
"56",2,0,1991,1,40.4599990844727,78.120002746582,80.6699981689453,1,0,72,33,0,0,72.0739974975586,6.59999990463257,6.80000019073486,5.30000019073486,4.21000003814697,0,0,1,0,0,100,56
"57",0,0,1991,2,38.4700012207031,68.0199966430664,75.3300018310547,1,0,95,50,0,0,71.9970016479492,6.80000019073486,6.80000019073486,4.90000009536743,4.21000003814697,0,0,1,0,0,100,57
"58",2,0,1991,3,36.7999992370605,68.879997253418,70.3300018310547,1,0,97,65,0,0,72.8440017700195,6.90000009536743,6.80000019073486,3.90000009536743,4.21000003814697,0,0,1,0,0,100,58
"59",0,2,1991,4,28.8299999237061,62.8699989318848,54.6699981689453,0,0,73,44,0,0,59.3559989929199,7.09999990463257,6.80000019073486,3,4.21000003814697,0,0,1,0,0,100,59
"60",0,0,1992,1,21.8299999237061,53.1800003051758,43.5,0,0,68,32,0,0,51.2410011291504,7.40000009536743,7.5,2.90000009536743,3.00999999046326,0,0,1,0,0,100,60
"61",0,1,1992,2,20.2700004577637,51.939998626709,39,0,0,89,68,0,0,52.2400016784668,7.59999990463257,7.5,3.09999990463257,3.00999999046326,0,0,1,0,0,100,61
"62",0,0,1992,3,20.3799991607666,53,36.5,0,0,79,57,0,0,46.4269981384277,7.59999990463257,7.5,3.09999990463257,3.00999999046326,0,0,1,0,0,100,62
"63",0,0,1992,4,20.4500007629395,53,41.0800018310547,0,0,102,78,0,0,43.2529983520508,7.40000009536743,7.5,3,3.00999999046326,0,0,1,0,0,100,63
"64",3,0,1993,1,46.8300018310547,54.0999984741211,54.5,0,1,103,107,0,0,56.5550003051758,7.19999980926514,6.90000009536743,3.20000004768372,2.99000000953674,0,1,0,0,0,100,64
"65",0,1,1993,2,36.4900016784668,45.3800010681152,46.8300018310547,0,0,89,95,0,0,46.931999206543,7.09999990463257,6.90000009536743,3.09999990463257,2.99000000953674,0,1,0,0,0,100,65
"66",0,0,1993,3,35.8800010681152,47.4000015258789,45.5,0,0,78,85,0,0,54.2210006713867,6.80000019073486,6.90000009536743,2.79999995231628,2.99000000953674,0,1,0,0,0,100,66
